pre_root_id,post_root_id,neuropil,syn_count,nt_type
720575940611724714,720575940630318951,SMP_R,4.0,GLUT
720575940619245016,720575940628602471,SMP_R,5.0,DA
720575940625741287,720575940631853615,SMP_R,65.0,GABA
720575940616273631,720575940624911548,SMP_R,19.0,ACH
720575940629791288,720575940619436225,SMP_R,14.0,ACH
720575940628360506,720575940617796642,SMP_R,40.0,GABA
720575940635515744,720575940637363519,SMP_R,7.0,ACH
720575940612488142,720575940618943389,SMP_R,21.0,ACH
720575940634962879,720575940620464321,SMP_R,7.0,ACH
720575940617306717,720575940631147335,SMP_R,6.0,ACH
720575940619597958,720575940617691170,SMP_R,3.0,GABA
720575940630284647,720575940625349925,SMP_R,7.0,ACH
720575940634688151,720575940611092036,SMP_R,5.0,ACH
720575940638163428,720575940617749538,SMP_R,4.0,GLUT
720575940617318557,720575940613540350,SMP_R,8.0,GLUT
720575940608836291,720575940631853615,SMP_R,10.0,ACH
720575940612630434,720575940632943277,SMP_R,6.0,ACH
720575940636318350,720575940624544748,SMP_R,3.0,ACH
720575940613877423,720575940638168639,SMP_R,13.0,GLUT
720575940627463043,720575940618682782,SMP_R,15.0,ACH
720575940623141658,720575940628118159,SMP_R,51.0,ACH
720575940611046885,720575940628245291,SMP_R,6.0,GLUT
720575940632133857,720575940617796642,SMP_R,48.0,ACH
720575940626500745,720575940614215405,SMP_R,212.0,GLUT
720575940625478296,720575940613540350,SMP_R,8.0,GLUT
720575940642262157,720575940617844509,SMP_R,9.0,GLUT
720575940625777594,720575940631745367,SMP_R,24.0,GLUT
720575940622319715,720575940632369439,SMP_R,5.0,GLUT
720575940624695566,720575940634308959,SMP_R,4.0,ACH
720575940620879809,720575940635565175,SMP_R,5.0,SER
720575940613775825,720575940628368394,SMP_R,6.0,ACH
720575940606010057,720575940629513948,SMP_R,10.0,ACH
720575940625315258,720575940638660597,SMP_R,12.0,ACH
720575940617552340,720575940613792296,SMP_R,32.0,GABA
720575940642773284,720575940625365512,SMP_R,11.0,ACH
720575940624186185,720575940617493078,SMP_R,12.0,ACH
720575940611502309,720575940625709401,SMP_R,10.0,ACH
720575940611755157,720575940620716897,SMP_R,5.0,ACH
720575940619821392,720575940626843153,SMP_R,5.0,GLUT
720575940616483284,720575940613944994,SMP_R,105.0,GLUT
720575940644521764,720575940626259458,SMP_R,7.0,GLUT
720575940610815510,720575940644176164,SMP_R,5.0,ACH
720575940615184863,720575940628173138,SMP_R,12.0,GLUT
720575940644176164,720575940616643284,SMP_R,12.0,ACH
720575940615218875,720575940628118159,SMP_R,14.0,GLUT
720575940627129290,720575940624206472,SMP_R,1.0,GABA
720575940628729361,720575940631004202,SMP_R,10.0,GLUT
720575940614952415,720575940622994323,SMP_R,8.0,ACH
720575940625751589,720575940627463043,SMP_R,58.0,GLUT
720575940626813010,720575940619245016,SMP_R,10.0,ACH
720575940628118159,720575940629908540,SMP_R,11.0,GLUT
720575940621602743,720575940603765280,SMP_R,1.0,GLUT
720575940633215339,720575940625934094,SMP_R,1.0,ACH
720575940623139341,720575940615126578,SMP_R,32.0,GLUT
720575940628360506,720575940631511436,SMP_R,6.0,GABA
720575940621365669,720575940631727391,SMP_R,39.0,GLUT
720575940627684713,720575940625365512,SMP_R,12.0,ACH
720575940617102173,720575940619134789,SMP_R,8.0,ACH
720575940630349905,720575940644948771,SMP_R,8.0,ACH
720575940635421285,720575940606010057,SMP_R,5.0,ACH
720575940613809071,720575940635842990,SMP_R,14.0,ACH
720575940621580715,720575940619134789,SMP_R,15.0,GLUT
720575940611477657,720575940612488142,SMP_R,5.0,ACH
720575940627129290,720575940614892182,SMP_R,25.0,GABA
720575940611092036,720575940628602471,SMP_R,5.0,GLUT
720575940626086960,720575940623217577,SMP_R,35.0,GLUT
720575940605421745,720575940634039647,SMP_R,5.0,ACH
720575940643448264,720575940616840665,SMP_R,3.0,GLUT
720575940628360506,720575940624323592,SMP_R,4.0,GABA
720575940628360506,720575940620793584,SMP_R,16.0,GABA
720575940626567178,720575940635517876,SMP_R,1.0,ACH
720575940627384049,720575940615166111,SMP_R,38.0,ACH
720575940612683729,720575940616950161,SMP_R,11.0,GLUT
720575940624186185,720575940638168639,SMP_R,33.0,ACH
720575940619940693,720575940612891373,SMP_R,45.0,ACH
720575940634842804,720575940618791515,SMP_R,5.0,ACH
720575940629575755,720575940622995082,SMP_R,6.0,GLUT
720575940629392439,720575940617691170,SMP_R,21.0,GLUT
720575940610760306,720575940622319715,SMP_R,5.0,ACH
720575940612683729,720575940625365512,SMP_R,14.0,GLUT
720575940617749538,720575940622997453,SMP_R,4.0,GABA
720575940643309197,720575940628001512,SMP_R,6.0,GLUT
720575940617272098,720575940614867119,SMP_R,2.0,ACH
720575940618563664,720575940626405690,SMP_R,5.0,ACH
720575940621339156,720575940615066310,SMP_R,10.0,GLUT
720575940621231966,720575940618682782,SMP_R,7.0,GLUT
720575940632131887,720575940611477657,SMP_R,18.0,ACH
720575940610469986,720575940646353699,SMP_R,48.0,ACH
720575940629491275,720575940625365512,SMP_R,7.0,ACH
720575940623687757,720575940632943277,SMP_R,64.0,ACH
720575940625087159,720575940623506134,SMP_R,7.0,GLUT
720575940613992657,720575940618682782,SMP_R,37.0,ACH
720575940606664894,720575940631063627,SMP_R,1.0,GABA
720575940625768721,720575940626000016,SMP_R,3.0,GLUT
720575940624695566,720575940628118159,SMP_R,30.0,ACH
720575940624112152,720575940623217577,SMP_R,9.0,ACH
720575940626315010,720575940633626337,SMP_R,8.0,ACH
720575940638559549,720575940642506459,SMP_R,6.0,GLUT
720575940617749538,720575940627619057,SMP_R,35.0,GABA
720575940618912158,720575940635630703,SMP_R,4.0,ACH
720575940631488839,720575940621339156,SMP_R,9.0,ACH
720575940610199665,720575940617691170,SMP_R,5.0,ACH
720575940625527396,720575940608339209,SMP_R,9.0,ACH
720575940614902667,720575940613583001,SMP_R,1.0,ACH
720575940623905719,720575940637098352,SMP_R,54.0,ACH
720575940627572484,720575940608140380,SMP_R,11.0,ACH
720575940646160948,720575940625365512,SMP_R,8.0,SER
720575940618897693,720575940623636957,SMP_R,11.0,ACH
720575940621812315,720575940631945047,SMP_R,7.0,GLUT
720575940625751589,720575940636895406,SMP_R,13.0,GLUT
720575940626158598,720575940625960360,SMP_R,2.0,ACH
720575940625741287,720575940612488142,SMP_R,121.0,GABA
720575940628504081,720575940616840665,SMP_R,9.0,SER
720575940608903122,720575940621662332,SMP_R,12.0,ACH
720575940620252075,720575940627109202,SMP_R,3.0,ACH
720575940628137713,720575940638168639,SMP_R,65.0,ACH
720575940626466332,720575940621196037,SMP_R,5.0,GLUT
720575940611430513,720575940619899668,SMP_R,9.0,GLUT
720575940613258994,720575940618364480,SMP_R,22.0,GABA
720575940621662332,720575940608227118,SMP_R,63.0,GLUT
720575940625375240,720575940636990064,SMP_R,15.0,ACH
720575940610355042,720575940633901395,SMP_R,6.0,ACH
720575940618978645,720575940625741287,SMP_R,6.0,ACH
720575940624755088,720575940622965765,SMP_R,10.0,ACH
720575940615763573,720575940617532089,SMP_R,6.0,GLUT
720575940615184863,720575940612734066,SMP_R,7.0,GLUT
720575940617749538,720575940614392999,SMP_R,29.0,GABA
720575940616155933,720575940637293687,SMP_R,3.0,ACH
720575940623231527,720575940629242428,SMP_R,26.0,ACH
720575940632042148,720575940619667541,SMP_R,11.0,GABA
720575940622151704,720575940617955099,SMP_R,11.0,ACH
720575940635870831,720575940611738035,SMP_R,28.0,ACH
720575940610302818,720575940634131391,SMP_R,7.0,ACH
720575940613353169,720575940639776088,SMP_R,5.0,ACH
720575940624155672,720575940608336907,SMP_R,13.0,ACH
720575940604893361,720575940625527396,SMP_R,7.0,SER
720575940606573490,720575940620203781,SMP_R,2.0,GLUT
720575940639226084,720575940619436225,SMP_R,13.0,ACH
720575940626315010,720575940636571534,SMP_R,20.0,ACH
720575940628504849,720575940624820112,SMP_R,5.0,ACH
720575940617749538,720575940617071372,SMP_R,69.0,GABA
720575940623413173,720575940619940693,SMP_R,6.0,ACH
720575940626507027,720575940604486880,SMP_R,6.0,ACH
720575940617792985,720575940622828056,SMP_R,13.0,ACH
720575940613809071,720575940625365512,SMP_R,8.0,ACH
720575940619667541,720575940639659427,SMP_R,10.0,ACH
720575940618682782,720575940636997744,SMP_R,65.0,GLUT
720575940609088978,720575940622679590,SMP_R,9.0,ACH
720575940605252798,720575940624280328,SMP_R,7.0,ACH
720575940613792296,720575940632389028,SMP_R,30.0,GLUT
720575940612011377,720575940629585602,SMP_R,8.0,GLUT
720575940628118159,720575940628358675,SMP_R,17.0,ACH
720575940644176164,720575940621457690,SMP_R,164.0,ACH
720575940622679590,720575940620740717,SMP_R,24.0,ACH
720575940612488142,720575940626675185,SMP_R,8.0,ACH
720575940623139341,720575940626717739,SMP_R,10.0,GLUT
720575940620324079,720575940617249236,SMP_R,9.0,GLUT
720575940605007206,720575940626500745,SMP_R,88.0,GLUT
720575940628729361,720575940608903122,SMP_R,2.0,GLUT
720575940634603930,720575940619245016,SMP_R,9.0,ACH
720575940624338068,720575940612488142,SMP_R,14.0,ACH
720575940616214100,720575940636997744,SMP_R,5.0,ACH
720575940623082665,720575940613583001,SMP_R,7.0,DA
720575940625741287,720575940625935544,SMP_R,29.0,GABA
720575940606664894,720575940640793251,SMP_R,9.0,GABA
720575940642151565,720575940621457690,SMP_R,199.0,ACH
720575940625741287,720575940635590136,SMP_R,33.0,GABA
720575940631123308,720575940638840629,SMP_R,13.0,ACH
720575940629199619,720575940621339156,SMP_R,4.0,GLUT
720575940643309197,720575940621457690,SMP_R,45.0,GLUT
720575940627748885,720575940638168639,SMP_R,9.0,ACH
720575940650932982,720575940608227118,SMP_R,10.0,GLUT
720575940612139443,720575940619855296,SMP_R,5.0,GLUT
720575940642773284,720575940621457690,SMP_R,82.0,ACH
720575940644521764,720575940615066310,SMP_R,40.0,GLUT
